AmId	HHKey	CustNum
1	23831	100034
2	1560	100087
3	5497	100131
4	7228	100185
5	21889	10019
6	1576	10028
7	9329	100326
8	17379	100335
9	18190	10042
10	14393	100443
12	7331	100488
13	2333	100587
15	14448	100680
16	23816	100710
17	7685	100723
18	4448	100853
19	19157	100982
20	17349	101
21	1913	101032
22	1095	101091
23	10167	101102
25	24186	101141
27	5194	101171
28	18735	101214
29	8738	101220
30	10254	101247
32	21006	101289
34	8811	101324
35	6761	101435
36	9384	101439
37	2230	101493
38	1818	10157
40	18890	101605
41	7820	101611
42	12771	101662
44	16164	101711
45	4440	101719
46	13140	101802
47	12830	101992
48	13305	101999
49	4514	102
50	2176	102029
52	22334	102108
53	22384	102130
55	12385	10218
56	13713	10222
57	10465	10225
58	17410	102317
59	2158	102321
61	12379	10233
62	780	10235
63	5744	102390
64	23618	10241
66	21526	10259
67	14596	102593
68	5283	102616
69	5516	102631
70	9318	102650
71	7768	102693
72	21231	102715
73	21790	10272
74	3706	102743
75	7413	102759
76	24362	10281
77	20256	10284
78	19876	10285
79	3519	102883
80	10941	102918
82	5458	102966
83	13091	102969
84	13991	102980
85	2887	103017
86	23077	103031
90	2351	103130
91	21290	103182
92	3100	103287
93	1123	103305
94	17291	103406
98	1111	1036
100	4399	10364
101	4755	10366
102	4507	103692
103	13543	103709
104	2271	103764
105	12453	103841
106	2524	103869
107	22865	103902
110	11828	103987
111	4505	104002
112	2581	104024
113	2556	10411
114	20997	10420
115	861	104288
117	19471	10439
118	6191	104488
119	8615	104522
121	10531	104595
122	15087	104613
124	19302	104718
125	19373	104724
128	4967	104891
129	1311	104949
131	14226	104984
134	3800	105164
135	23229	105202
136	22895	105236
137	17177	105242
139	1622	105340
141	9481	105363
142	7156	105381
143	7190	105431
144	5106	105450
145	1035	105452
147	23529	105694
149	14779	105741
150	16341	105819
151	9650	105842
152	17612	105873
153	1111	105874
154	12019	105876
155	980	105897
156	23071	10590
157	9807	105956
158	3366	105959
160	22578	105966
161	1364	106007
162	8715	106030
163	20317	106051
164	7755	10607
165	23805	106089
166	3970	106192
167	10564	106211
168	20293	106231
169	22927	106285
171	12495	106398
172	14053	10648
173	16933	106590
174	16478	106644
175	24183	106751
176	2244	106761
177	13855	106765
178	3030	106804
179	10640	106808
180	15293	106902
181	8253	106927
182	23081	106933
183	3832	106990
185	3616	107050
186	12143	107056
187	14182	107092
188	15293	107097
189	6053	107102
190	297	10715
191	23362	107268
192	4474	107301
193	7320	107343
194	18861	107402
195	1837	107403
196	11206	107411
197	17420	107436
198	10768	107446
199	9869	107496
200	18379	107546
201	12208	107582
203	8118	107680
205	8530	107775
206	1400	107782
207	936	107882
209	4922	107988
212	4324	108125
213	14185	108130
215	14018	108327
216	21276	108370
217	21276	108372
218	21246	108383
219	18573	108387
220	8088	108395
221	8675	108427
222	21618	108516
223	20044	108532
224	11760	108535
225	19267	108585
226	12625	108653
227	9934	108666
228	3113	108716
229	19285	108730
230	12418	108737
231	5968	108754
232	16191	10879
233	21997	108811
235	16348	108826
236	19298	108976
237	22350	109045
238	17617	109122
239	7602	109168
240	11149	109197
241	13903	109257
242	15160	109293
244	21500	109322
245	13012	109326
246	20468	109371
247	23924	109445
250	9542	109646
252	11323	109693
253	328	109783
254	11029	109788
256	19702	109862
257	17007	110021
258	21043	11006
260	6242	110129
261	22248	110200
262	10750	110263
263	12245	110299
264	14445	110343
265	4031	110360
268	17971	110484
269	8863	110498
270	9365	110561
271	2140	11060
272	20641	110657
273	20841	110794
274	11123	110820
277	15288	111074
278	18705	111080
279	4347	111156
280	19460	111182
281	4410	11119
283	24132	111200
285	12868	111381
286	4631	111405
287	12341	111526
289	367	11156
290	17735	111638
292	17820	111658
293	23801	111663
294	18071	111752
295	23096	111793
296	4543	11180
297	14545	11183
298	18268	11186
299	21564	111866
