Ref,NUM_ACCTS,Deposit_Count,Deposit_Balance,Loan_Count,Loan_Balance,Nmc_count,Nmc_balance,Revenue,New,Yr10P,Tenure,Dormant,BillPay,DirectDeposit,Current,Gone,Total_Check,Total_MoneyMarket,Total_Savings,Total_CD,Total_Retirement,Total_Loan,Total_Equity,Total_AutoLoan,Total_Mortgage,Bal_Check,Bal_MoneyMarket,Bal_Savings,Bal_CD,Bal_Retirement,Bal_Loan,Bal_Equity,Bal_AutoLoan,Bal_Mortgage
1,2,2,0.088,0,0.000,0,0.000,0.003,0,1,11,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0.000,0.000,0.025,0,0.062,0.000,0.000,0.000,0.000
2,1,1,0.017,0,0.000,0,0.000,0.000,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.000,0.017,0,0.000,0.000,0.000,0.000,0.000
3,4,4,54.245,0,0.000,0,0.000,1.355,0,0,7,0,0,0,0,0,1,0,3,0,0,0,0,0,0,30.002,0.000,24.243,0,0.000,0.000,0.000,0.000,0.000
4,2,2,-0.025,0,0.000,0,0.000,0.097,0,0,3,1,1,1,1,0,1,0,1,0,0,0,0,0,0,-0.050,0.000,0.025,0,0.000,0.000,0.000,0.000,0.000
5,2,2,0.450,0,0.000,0,0.000,0.108,0,1,21,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0.175,0.000,0.275,0,0.000,0.000,0.000,0.000,0.000
6,2,2,-0.266,0,0.000,0,0.000,0.091,0,0,7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,-0.291,0.000,0.025,0,0.000,0.000,0.000,0.000,0.000
7,4,4,2.659,0,0.000,0,0.000,0.256,0,0,6,0,1,1,1,0,2,0,2,0,0,0,0,0,0,2.609,0.000,0.050,0,0.000,0.000,0.000,0.000,0.000
8,2,2,7.254,0,0.000,0,0.000,0.266,0,1,12,0,1,1,1,0,1,0,1,0,0,0,0,0,0,7.197,0.000,0.057,0,0.000,0.000,0.000,0.000,0.000
9,2,2,-0.168,0,0.000,0,0.000,0.093,0,0,5,1,1,1,1,0,1,0,1,0,0,0,0,0,0,-0.193,0.000,0.025,0,0.000,0.000,0.000,0.000,0.000
10,2,2,1.197,0,0.000,0,0.000,0.125,0,0,5,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1.172,0.000,0.025,0,0.000,0.000,0.000,0.000,0.000
11,3,2,0.400,1,12.514,1,12.514,0.159,0,1,12,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0.275,0.000,0.125,0,0.000,0.000,0.000,12.514,0.000
12,1,1,0.010,0,0.000,0,0.000,0.000,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.000,0.010,0,0.000,0.000,0.000,0.000,0.000
13,2,2,0.525,0,0.000,0,0.000,0.110,0,0,8,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0.500,0.000,0.025,0,0.000,0.000,0.000,0.000,0.000
